file_type,district,year,month,file_name,file_id,megabites,download_url
meta,3,2008,December,d03_text_meta_2008_12_02.txt,110031,0.1,/?download=110031&dnode=Clearinghouse
meta,3,2008,December,d03_text_meta_2008_12_03.txt,110033,0.1,/?download=110033&dnode=Clearinghouse
meta,3,2009,December,d03_text_meta_2008_12_03.txt,110033,0.1,/?download=110033&dnode=Clearinghouse
meta,3,2009,December,d03_text_meta_2009_12_22.txt,110085,0.1,/?download=110085&dnode=Clearinghouse
meta,3,2009,January,d03_text_meta_2009_01_07.txt,110035,0.1,/?download=110035&dnode=Clearinghouse
meta,3,2009,January,d03_text_meta_2009_01_10.txt,110037,0.1,/?download=110037&dnode=Clearinghouse
meta,3,2009,January,d03_text_meta_2009_01_30.txt,110039,0.1,/?download=110039&dnode=Clearinghouse
meta,3,2009,February,d03_text_meta_2009_02_05.txt,110041,0.1,/?download=110041&dnode=Clearinghouse
meta,3,2009,February,d03_text_meta_2009_02_20.txt,110043,0.1,/?download=110043&dnode=Clearinghouse
meta,3,2009,April,d03_text_meta_2009_04_02.txt,110045,0.1,/?download=110045&dnode=Clearinghouse
meta,3,2009,April,d03_text_meta_2009_04_23.txt,110047,0.1,/?download=110047&dnode=Clearinghouse
meta,3,2009,April,d03_text_meta_2009_04_24.txt,110049,0.1,/?download=110049&dnode=Clearinghouse
meta,3,2009,May,d03_text_meta_2009_05_08.txt,110051,0.1,/?download=110051&dnode=Clearinghouse
meta,3,2009,May,d03_text_meta_2009_05_21.txt,110053,0.1,/?download=110053&dnode=Clearinghouse
meta,3,2009,May,d03_text_meta_2009_05_28.txt,110055,0.1,/?download=110055&dnode=Clearinghouse
meta,3,2009,June,d03_text_meta_2009_06_06.txt,110057,0.1,/?download=110057&dnode=Clearinghouse
meta,3,2009,June,d03_text_meta_2009_06_11.txt,110059,0.1,/?download=110059&dnode=Clearinghouse
meta,3,2009,June,d03_text_meta_2009_06_20.txt,110061,0.1,/?download=110061&dnode=Clearinghouse
meta,3,2009,July,d03_text_meta_2009_07_29.txt,110063,0.1,/?download=110063&dnode=Clearinghouse
meta,3,2009,August,d03_text_meta_2009_08_13.txt,110065,0.1,/?download=110065&dnode=Clearinghouse
meta,3,2009,August,d03_text_meta_2009_08_19.txt,110067,0.1,/?download=110067&dnode=Clearinghouse
meta,3,2009,August,d03_text_meta_2009_08_27.txt,110069,0.1,/?download=110069&dnode=Clearinghouse
