Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
SR1-N	5	Santa Cruz		R4.52302	355.659	.962	500013052	BUENA VISTA DR HWY 1 SB VDS MLNB	3	Mainline		No	1	
SR1-N	5	Santa Cruz		R5.32298	356.459	1.106	500013062	MIDPOINT HWY 1 SB VDS MLNB NB	3	Mainline		No	1	
SR1-N	5	Santa Cruz		R6.73501	357.871	1.143	500013071	MAR MONTE AVE AT HWY 1 NB VDS ML	2	Mainline		No	1	
SR1-N	5	Santa Cruz		R7.608	358.744	.642	500013081	MAR MONTE AVE AT HWY 1 NB VDS ML	2	Mainline		No	1	
SR1-N	5	Santa Cruz		R8.01901	359.155	.353	500013091	LARKIN VALLEY RD HWY 1 NB VDS ML	2	Mainline		No	1	
SR1-N	5	Santa Cruz		8.10899999999998	359.45	.443	500013101	FREEDOM BLVD HWY 1 NB VDS MLNB N	2	Mainline		No	1	
SR1-N	5	Santa Cruz		8.7012	360.042	.452	500013112	FREEDOM BLVD AT HWY 1 SB VDS MLN	2	Mainline	radars	No	1	
SR1-N	5	Santa Cruz		9.012	360.353		500013121	RIO DEL MAR BLVD AT HWY 1 NB VDS	1	Off Ramp		No	1	
SR1-N	5	Santa Cruz		9.01298	360.354	.426	500013122	RIO DEL MAR BLVD AT HWY 1 NB VDS	2	Mainline		No	1	
SR1-N	5	Santa Cruz		9.553	360.894	.652	500013132	RIO DEL MAR BLVD AT HWY 1 SB VDS	2	Mainline	radars	No	1	
SR1-N	5	Santa Cruz		10.318	361.659	.609	500013141	STATE PARK DR AT HWY 1 NB VDS ML	2	Mainline		No	1	
SR1-N	5	Santa Cruz		10.773	362.114	.565	500013152	STATE PARK DR AT HWY 1 SB VDS ML	2	Mainline	radars	No	1	
SR1-N	5	Santa Cruz		11.448	362.789	.553	500014011	PARK AVE NEXT EXIT SIGN HWY 1 NB	2	Mainline		No	1	
SR1-N	5	Santa Cruz		11.879	363.22	.445	500014021	PARK AVE AT HWY 1 NB VDS MLNB NB	2	Mainline	radars	No	1	
SR1-N	5	Santa Cruz	Capitola	12.338	363.679	.576	500014032	PARK AVE AT HWY 1 SB VDS MLNB NB	2	Mainline	radars	No	1	
SR1-N	5	Santa Cruz	Capitola	13.032	364.373	.471	500014041	BAY AVE / PORTER ST AT HWY 1 NB	2	Mainline	radars	No	1	
SR1-N	5	Santa Cruz		13.28	364.621	.291	500014053	BAY AVE / PORTER ST AT HWY 1 SB	2	Mainline	radars	No	1	
SR1-N	5	Santa Cruz		13.281	364.622		500014054	BAY AVE / PORTER ST AT HWY 1 SB	1	On Ramp		No	1	
SR1-N	5	Santa Cruz		13.615	364.956	.324	500014063	41ST ST OC AT HWY 1 SB VDS MLNB	2	Mainline	radars	No	1	
SR1-N	5	Santa Cruz		13.616	364.957		500014064	41ST ST OC AT HWY 1 SB VDS ONNB	1	On Ramp		No	1	
SR1-N	5	Santa Cruz		13.929	365.27	.397	500014072	41ST ST EXIT AT HWY 1 SB VDS MLN	2	Mainline	radars	No	1	
SR1-N	5	Santa Cruz		14.409	365.75	.536	500014081	SOQUEL DR NEXT EXIT SIGN HWY 1 N	3	Mainline	radars	No	1	
SR1-N	5	Santa Cruz	Santa Cruz	15.001	366.342	.803	500014092	SOQUEL AVE AT HWY 1 SB VDS MLNB	2	Mainline	radars	No	1	
SR1-N	5	Santa Cruz	Santa Cruz	15.002	366.343		500014093	SOQUEL AVE AT HWY 1 SB VDS ONNB	1	On Ramp		No	1	
SR1-N	5	Santa Cruz	Santa Cruz	15.582	366.923		500014101	EAST OF MORRISSEY BLVD AT HWY 1	1	Off Ramp	radars	No	1	
SR1-N	5	Santa Cruz	Santa Cruz	16.014	367.355	.663	500014111	WEST OF MORRISSEY BLVD AT HWY 1	3	Mainline	radars	No	1	
SR1-N	5	Santa Cruz	Santa Cruz	16.327	367.668	.352	500014121	EAST OF EMELINE DR AT HWY 1 NB V	3	Mainline	radars	No	1	
SR1-N	5	Santa Cruz	Santa Cruz	16.718	368.059		500014131	BEGIN HWY 17 NB AND HWY 1 NB SEP	1	Off Ramp		No	1	
