Fwy,District,County,City,CA PM,Abs PM,Length,ID,Name,Lanes,Type,Sensor Type,HOV,MS ID,IRM,Latitude,Longitude,Dir,State_PM,Abs_PM,User_ID_1,_file_date,_source_file
SR1-N,5,Monterey,,R90.361,340.873,,500011081,NASHUA RD HWY 1 NB VDS ONNB NB,1.0,On Ramp,,No,1,,36.745281,-121.771383,N,R90.361,340.873,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,R90.362,340.874,1.079,500011082,NASHUA RD HWY 1 NB VDS MLNB NB,2.0,Mainline,,No,1,,36.745293,-121.771374,N,R90.362,340.874,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,R90.735,341.247,,500011091,HWY 156 AT HWY 1 NB VDS OFNB NB,2.0,Off Ramp,,No,1,,36.74982,-121.767689,N,R90.735,341.247,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,R90.736,341.248,0.891,500011092,HWY 156 AT HWY 1 NB VDS MLNB NB,2.0,Mainline,radars,No,1,,36.749832,-121.767679,N,R90.736,341.248,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,T92.143,342.655,,500011111,HWY 183 AT HWY 1 NB VDS OFNB NB,1.0,Off Ramp,,No,1,,36.770203,-121.765218,N,T92.143,342.655,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,T92.144,342.656,1.121,500011112,HWY 183 AT HWY 1 NB VDS MLNB NB,1.0,Mainline,radars,No,1,,36.77022,-121.765221,N,T92.144,342.656,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,94.386,343.491,0.811,500011121,MOLERA RD HWY 1 NB VDS MLNB NB,1.0,Mainline,radars,No,1,,36.780229,-121.777463,N,94.386,343.491,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,94.387,343.492,,500011122,MOLERA RD HWY 1 NB VDS OFNB NB,1.0,Off Ramp,,No,1,,36.780241,-121.777478,N,94.387,343.492,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,95.175,344.28,0.712,500011131,POTRERO RD HWY 1 NB VDS MLNB NB,1.0,Mainline,,No,1,,36.790626,-121.783337,N,95.175,344.28,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,95.176,344.281,,500011132,POTRERO RD HWY 1 NB VDS OFNB NB,1.0,Off Ramp,,No,1,,36.79064,-121.783342,N,95.176,344.281,1,2026-03-27,d05_text_meta_2026_03_27.txt
